No.,Taxpayer.,"Permit No","Business Name",Particulars,"TOP NO",O.R.Number,Date,Amount,Details,Status,Cashier
65,"M. D. Karanjade",,"Engineering Fee",000346,4970715,"Oct 11, 2023",300,300,active,"Susan Fajardo"
66,"M. D. Karanjade",,"Engineering Fee",000347,4970716,"Oct 11, 2023",605,605,active,"Susan Fajardo"
67,"Machindra Sopan Gavade",,"Engineering Fee (Sanitary/Plumbing Permit)",000348,4970717,"Oct 11, 2023",416,416,active,"Susan Fajardo"
68,"Sania Abbas Mirza",,"Engineering Fee (Fencing Permit)",000349,4970718,"Oct 11, 2023",320,320,active,"Susan Fajardo"
69,"Machindra Sopan Gavade",,"Engineering Fee",000350,4970719,"Oct 11, 2023",152,152,active,"Susan Fajardo"
70,"Sania Abbas Mirza",,"Engineering Fee",000351,4970720,"Oct 11, 2023",289,289,active,"Susan Fajardo"
71,"Sonali Mahadev Khamkar",,"Engineering Fee (Building Permit with Surcharge)",000352,4970721,"Oct 11, 2023",3405,3405,active,"Susan Fajardo"
72,"Sonali Mahadev Khamkar",,"Engineering Fee (Building Permit with Surcharge)",000353,4970722,"Oct 11, 2023",2267,2267,active,"Susan Fajardo"
73,"Sania Abbas Mirza",,"Engineering Fee",000354,4970723,"Oct 11, 2023",3018,3018,active,"Susan Fajardo"
74,"Juan Hernandez Dela Cruz",,"Planning And Development Fee",000355,4970724,"Oct 11, 2023",135156,135156,active,"Susan Fajardo"
75,"Bal Gangadher Tilak1",,"Planning And Development Fee",000356,4970725,"Oct 11, 2023",55428,55428,active,"Susan Fajardo"
76,"Bal Gangadher Tilak1",,"Planning And Development Fee",000357,4970726,"Oct 11, 2023",44532,44532,active,"Susan Fajardo"
77,"Mahesh Balaso Mistry",,"Occupancy Fee",000358,4970727,"Oct 11, 2023",500,500,active,"Susan Fajardo"
78,"M. D. Karanjade",,"Occupancy Fee",000359,4970728,"Oct 11, 2023",1000,1000,active,"Susan Fajardo"
79,"Sonali Mahadev Khamkar",,"Occupancy Fee",000360,4970729,"Oct 11, 2023",790,790,active,"Susan Fajardo"
80,"  Rizal Commercial Bank Corporation",,"Laboratory Request",000364,4970732,"Oct 11, 2023",200,200,active,"Susan Fajardo"
81,"Ryan Santos Franco",,"Laboratory Request",000365,4970733,"Oct 11, 2023",250,250,active,"Susan Fajardo"
82,"  Luxe",,"Laboratory Request",000366,4970734,"Oct 11, 2023",200,200,active,"Susan Fajardo"
83,"  qwerty",,"Cemetery Application",000367,4970735,"Oct 11, 2023",15000,15000,active,"Susan Fajardo"
84,"  Chandanshive",,"Cemetery Application",000368,4970736,"Oct 11, 2023",15000,15000,active,"Susan Fajardo"
85,"Genesis  Vargas",,"Community Tax Certificate",,25498751,"Oct 11, 2023",1500,1500,active,"Susan Fajardo"
86,"Imelda  Velasquez",,"Community Tax Certificate",,25498752,"Oct 11, 2023",2000,2000,active,"Susan Fajardo"
87,"Ma. Larah Alvare Fajardo",,"Community Tax Certificate",,25498753,"Oct 11, 2023",3000,3000,active,"Susan Fajardo"
88,"Sambaji Namdev Pawar",,,,2674401,"Oct 11, 2023",100,100,active,"Susan Fajardo"
89,"Laxman Bhimrao Aivale",,,,2674402,"Oct 11, 2023",100,100,active,"Susan Fajardo"
90,"Sonali Mahadev Khamkar",,"Occupancy Fee",000361,4970854,"Oct 11, 2023",900,900,active,"Olga M. Berdon"
91,"Ma. Larah Alvare Fajardo",,"Various Payments",,2674358,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
92,"Atul Shivaji Hegade",,"Various Payments",,2674359,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
93,"Sania Abbas Mirza",,"Occupancy Fee",000362,4970855,"Oct 11, 2023",720,720,active,"Olga M. Berdon"
94,"Laxman Bhimrao Aiwale",,"Cemetery Application",000373,4970856,"Oct 12, 2023",1600,1600,active,"Olga M. Berdon"
95,"  Chandanshive",,"Burial Permit",,2674360,"Oct 12, 2023",100,100,Cancelled,"Olga M. Berdon"
96,"Ma. Larah Alvare Fajardo",,,,2674361,"Oct 12, 2023",100,100,Cancelled,"Olga M. Berdon"
97,"Ma. Larah Alvare Fajardo",,"Burial Permit",,2674362,"Oct 12, 2023",100,100,Cancelled,"Olga M. Berdon"
98,"Eddie Geocada Madrona",,"Engineering Fee",000374,4970742,"Oct 12, 2023",825,825,active,"Susan Fajardo"
99,"Darwin A. Castillo",,"Engineering Fee",000021,4970743,"Oct 12, 2023",1254,1254,Cancelled,"Susan Fajardo"
100,"Eddie Geocada Madrona",,"Occupancy Fee",000376,4970744,"Oct 12, 2023",550,550,active,"Susan Fajardo"
101,"Darwin A. Castillo",,"Occupancy Fee",000377,4970745,"Oct 12, 2023",950,950,active,"Susan Fajardo"
102,"DGSARM BUILDERS INC.  DGSARM",,Urinalysis,,3617901,"Oct 12, 2023",100,100,active,"Lilibeth Pangilinan"
103,"Jovenal Hernandez Asas",,Urinalysis,,3617902,"Oct 12, 2023",100,100,active,"Lilibeth Pangilinan"
104,"Genesis  Vargas",,"Complete Blood Count (CBC)",,3617903,"Oct 12, 2023",350,350,active,"Lilibeth Pangilinan"
105,"Imelda  Velasquez",,"Complete Blood Count (CBC)",,3617904,"Oct 12, 2023",200,200,active,"Lilibeth Pangilinan"
106,"Jenifer J Mata",,Urinalysis,,3617905,"Oct 12, 2023",100,100,active,"Lilibeth Pangilinan"
107,"MICA  COHEN",,"Laboratory Request",000337,3617912,"Oct 12, 2023",300,300,active,"Lilibeth Pangilinan"
108,"werty  thinig",,"Platelet Count",,3617914,"Oct 12, 2023",100,100,active,"Lilibeth Pangilinan"
109,"Ramon S Ang",,"Complete Blood Count (CBC)",,3617915,"Oct 12, 2023",300,300,active,"Lilibeth Pangilinan"
110,"Ramon S Ang",,"Complete Blood Count (CBC)",,3617918,"Oct 12, 2023",200,200,active,"Lilibeth Pangilinan"
111,"Laxman Bhimrao Aiwale",,"Cemetery Application",000379,4970857,"Oct 12, 2023",15000,15000,active,"Olga M. Berdon"
112,"  Shinde",,"Rental Application",000380,4970858,"Oct 12, 2023",14000,14000,active,"Olga M. Berdon"
113,"Ryan Santos Franco",,"Housing Application",000381,4970859,"Oct 12, 2023",120000,120000,active,"Olga M. Berdon"
114,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970860,"Oct 12, 2023",17050,17050,Cancelled,"Olga M. Berdon"
115,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970861,"Oct 12, 2023",17050,17050,Cancelled,"Olga M. Berdon"
116,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970862,"Oct 12, 2023",17050,17050,active,"Olga M. Berdon"
117,"Ma. Larah Alvare Fajardo",,"Burial Permit",,2674363,"Oct 12, 2023",100,100,active,"Olga M. Berdon"
118,"Machindra Sopan Gavade",,"Engineering Fee (Building Permit without Surcharge)",000382,4970746,"Oct 12, 2023",1850,1850,active,"Susan Fajardo"
119,"Ma. Larah Alvare Fajardo",,"Engineering Fee",000383,4970747,"Oct 12, 2023",7518,7518,active,"Susan Fajardo"
120,"Darwin A. Castillo",,"Occupancy Fee",000384,4970748,"Oct 12, 2023",640,640,active,"Susan Fajardo"
121,"Machindra Sopan Gavade",,"Occupancy Fee",000385,4970749,"Oct 12, 2023",2250,2250,active,"Susan Fajardo"
122,"Imelda  Velasquez",,"Occupancy Fee",000302,4970863,"Oct 12, 2023",450,450,active,"Olga M. Berdon"
123,"Ma. Larah Alvare Fajardo",,"Community Tax Certificate",,25498705,"Oct 12, 2023",500,500,active,"Olga M. Berdon"
124,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000386,9938601,"Oct 12, 2023",0,0,active,"Olga M. Berdon"
125,"CATALINO M SALES",,"Engineering Fee",000387,4970750,"Oct 13, 2023",860,860,active,"Susan Fajardo"
126,"Rey C Cajiles",,"Engineering Fee",000388,4970901,"Oct 13, 2023",3435,3435,active,"Susan Fajardo"
127,"Ma. Larah Alvare Fajardo",,"Occupancy Fee",000389,4970902,"Oct 13, 2023",1300,1300,active,"Susan Fajardo"
128,"CATALINO M SALES",,"Occupancy Fee",000390,4970903,"Oct 13, 2023",4550,4550,active,"Susan Fajardo"
129,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000391,9938602,"Oct 13, 2023",0,0,active,"Olga M. Berdon"
130,"Jenifer J Mata",,"Real Property Tax Fee",000392,9938603,"Oct 13, 2023",0,0,active,"Olga M. Berdon"
131,"Sonali Mahadev Khamkar",,"Occupancy Fee",000363,4970864,"Oct 13, 2023",1500,1500,active,"Olga M. Berdon"
132,"Sonali Mahadev Khamkar",,"Occupancy Fee",000393,4970865,"Oct 13, 2023",900,900,Cancelled,"Olga M. Berdon"
133,"Ryan Santos Franco",,"Housing Application",000381,4970866,"Oct 13, 2023",10000,10000,active,"Olga M. Berdon"
134,"Bal Gangadher Tilak1",,"Housing Application",000394,4970867,"Oct 13, 2023",120000,120000,active,"Olga M. Berdon"
135,"Bal Gangadher Tilak1",,"Housing Application",000394,4970868,"Oct 13, 2023",47507,47507,active,"Olga M. Berdon"
136,"Bal Gangadher Tilak1",,"Housing Application",000394,4970869,"Oct 13, 2023",20000,20000,active,"Olga M. Berdon"
137,"Based G Doo",,"Housing Application",000395,4970870,"Oct 13, 2023",1000,1000,active,"Olga M. Berdon"
138,"Based G Doo",,"Housing Application",000395,4970871,"Oct 13, 2023",500,500,active,"Olga M. Berdon"
139,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000396,9938604,"Oct 13, 2023",0,0,active,"Olga M. Berdon"
140,"Ma. Larah Alvare Fajardo",,"Real Property Tax Fee",000397,9938605,"Oct 13, 2023",0,0,active,"Olga M. Berdon"
141,"JUAN  DELA CRUZ",,"Engineering Fee",000399,4970904,"Oct 13, 2023",5031,5031,active,"Susan Fajardo"
142,"Machindra Sopan Gavade",,"Engineering Fee",000400,4970905,"Oct 13, 2023",3850,3850,active,"Susan Fajardo"
143,"Rey C Cajiles",,"Occupancy Fee",000401,4970906,"Oct 13, 2023",1850,1850,active,"Susan Fajardo"
144,"JUAN  DELA CRUZ",,"Occupancy Fee",000402,4970907,"Oct 13, 2023",7550,7550,active,"Susan Fajardo"
145,"Eddie Geocada Madrona",,"Occupancy Fee",000403,4970872,"Oct 13, 2023",1100,1100,active,"Olga M. Berdon"
146,"Imelda  Velasquez",,"Engineering Fee",000300,4970873,"Oct 13, 2023",2648,2648,active,"Olga M. Berdon"
147,"JOSEPH ADRIAN  BITANGCOL",,"Engineering Fee",000404,4970908,"Oct 14, 2023",3000,3000,active,"Susan Fajardo"
148,"Jericson Hora Ramos",,"Engineering Fee",000405,4970909,"Oct 14, 2023",2000,2000,active,"Susan Fajardo"
149,"Machindra Sopan Gavade",,"Engineering Fee",000406,4970910,"Oct 14, 2023",5500,5500,active,"Susan Fajardo"
150,"Bal Gangadher Tilak1",,"Engineering Fee",000408,4970911,"Oct 14, 2023",3000,3000,active,"Susan Fajardo"
151,"JUAN  DELA CRUZ",,"Occupancy Fee",000409,4970912,"Oct 14, 2023",3000,3000,active,"Susan Fajardo"
152,"Jericson Hora Ramos",,"Occupancy Fee",000410,4970913,"Oct 14, 2023",2000,2000,active,"Susan Fajardo"
153,"Machindra Sopan Gavade",,"Occupancy Fee",000411,4970914,"Oct 14, 2023",5500,5500,active,"Susan Fajardo"
154,"Bal Gangadher Tilak1",,"Occupancy Fee",000412,4970915,"Oct 14, 2023",3000,3000,active,"Susan Fajardo"
155,"Machindra Sopan Gavade",,"Engineering Fee",000414,4970916,"Oct 14, 2023",3300,3300,active,"Susan Fajardo"
156,"Eddie Geocada Madrona",,"Engineering Fee",000415,4970917,"Oct 14, 2023",2200,2200,active,"Susan Fajardo"
157,"Safik demo safik",,"Engineering Fee",000416,4970918,"Oct 14, 2023",4300,4300,active,"Susan Fajardo"
158,"Jovenal Hernandez Asas",,"Engineering Fee",000417,4970919,"Oct 14, 2023",4200,4200,active,"Susan Fajardo"
159,"Machindra Sopan Gavade",,"Engineering Fee",000418,4970874,"Oct 14, 2023",5000,5000,active,"Olga M. Berdon"
